sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),ID1,ID2,SHARP for sepal length (cm) Class1,SHARP for sepal width (cm) Class1,SHARP for petal length (cm) Class1,SHARP for petal width (cm) Class1,SHARP for sepal length (cm) Class2,SHARP for sepal width (cm) Class2,SHARP for petal length (cm) Class2,SHARP for petal width (cm) Class2,SHARP for sepal length (cm) Class3,SHARP for sepal width (cm) Class3,SHARP for petal length (cm) Class3,SHARP for petal width (cm) Class3
4.8,3.4,1.6,0.2,11.0,11.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
4.8,3.0,1.4,0.1,12.0,12.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,-0.13000613451004028,-2.2515833377838135,0.36881107091903687,-0.6348369121551514,0.037563975900411606,-1.5998510122299194,-1.2644996643066406
5.7,4.4,1.5,0.4,15.0,15.0,0.0,0.0,3.397064685821533,0.0,-0.04292021691799164,0.1882305145263672,-2.2024729251861572,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
5.7,3.8,1.7,0.3,18.0,18.0,0.0,0.0,3.397064685821533,0.0,-0.04292021691799164,0.1882305145263672,-2.2024729251861572,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
4.6,3.6,1.0,0.2,22.0,22.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
5.0,3.0,1.6,0.2,25.0,25.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,-0.13000613451004028,-2.2515833377838135,0.36881107091903687,-0.6348369121551514,0.037563975900411606,-1.5998510122299194,-1.2644996643066406
5.0,3.4,1.6,0.4,26.0,26.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
5.2,3.5,1.5,0.2,27.0,27.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
4.7,3.2,1.6,0.2,29.0,29.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
5.0,3.2,1.2,0.2,35.0,35.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
4.9,3.6,1.4,0.1,37.0,37.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
5.1,3.8,1.9,0.4,44.0,44.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
5.1,3.8,1.6,0.2,46.0,46.0,0.0,0.0,3.397064685821533,0.0,-0.23282991349697113,0.1882305145263672,-2.2515833377838135,0.2711014747619629,-0.6348369121551514,-0.08835417777299881,-1.5998510122299194,-1.1385815143585205
6.7,3.1,4.4,1.4,65.0,65.0,0.0,0.0,-2.10089111328125,0.0,0.10682209581136703,0.1882305145263672,2.0303168296813965,0.8211156725883484,0.35382434725761414,0.037563975900411606,-1.7355672121047974,-1.4169269800186157
5.8,2.7,4.1,1.0,67.0,67.0,0.0,0.0,-2.10089111328125,0.0,-0.04292021691799164,0.14803320169448853,1.9173332452774048,0.9188252091407776,-0.6348369121551514,0.037563975900411606,-1.5998510122299194,-1.2644996643066406
5.6,2.5,3.9,1.1,69.0,69.0,0.0,0.0,-2.10089111328125,0.0,-0.23282991349697113,-0.06498705595731735,1.5695950984954834,0.8670516014099121,-0.6348369121551514,0.037563975900411606,-1.5998510122299194,-1.2644996643066406
6.1,2.8,4.7,1.2,73.0,73.0,0.0,0.0,-2.10089111328125,0.0,0.10682209581136703,-0.13000613451004028,2.0303168296813965,0.9188252091407776,0.35382434725761414,0.037563975900411606,-1.7355672121047974,-1.4169269800186157
6.7,3.0,5.0,1.7,77.0,77.0,0.0,0.0,-2.10089111328125,0.0,-0.011364344507455826,-0.13000613451004028,-0.6359103322029114,1.4706801176071167,0.4206342399120331,0.037563975900411606,2.421642303466797,-1.3430832624435425
5.8,2.7,3.9,1.2,82.0,82.0,0.0,0.0,-2.10089111328125,0.0,-0.04292021691799164,0.14803320169448853,1.6187056303024292,0.9188252091407776,-0.6348369121551514,0.037563975900411606,-1.5998510122299194,-1.2644996643066406
5.5,2.5,4.0,1.3,89.0,89.0,0.0,0.0,-2.10089111328125,0.0,-0.23282991349697113,-0.06498705595731735,1.868222713470459,0.8670516014099121,-0.6348369121551514,0.037563975900411606,-1.5998510122299194,-1.2644996643066406
6.2,2.9,4.3,1.3,97.0,97.0,0.0,0.0,-2.10089111328125,0.0,0.10682209581136703,-0.13000613451004028,2.0303168296813965,0.9188252091407776,0.35382434725761414,0.037563975900411606,-1.7355672121047974,-1.4169269800186157
6.5,3.0,5.8,2.2,104.0,104.0,0.0,0.0,-2.10089111328125,0.0,-0.011364344507455826,-0.27604442834854126,-0.9923725128173828,-1.01874840259552,0.5209501385688782,0.11839350312948227,1.6653175354003906,1.859917402267456
7.6,3.0,6.6,2.1,105.0,105.0,0.0,0.0,-2.10089111328125,0.0,-0.011364344507455826,-0.27604442834854126,-0.9923725128173828,-1.01874840259552,0.5209501385688782,0.11839350312948227,1.6653175354003906,1.859917402267456
