sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),SHARP for sepal length (cm),SHARP for sepal width (cm),SHARP for petal length (cm),SHARP for petal width (cm)
6.8,2.8,4.8,1.4,3.207129955291748,-1.2461094856262207,0.16568905115127563,0.9473920464515686
5.7,2.5,5.0,2.0,-0.015269163995981216,1.293013095855713,1.4748555421829224,1.3873006105422974
6.0,2.2,4.0,1.0,1.193209171295166,0.22092726826667786,3.87786602973938,0.7234596014022827
5.7,3.0,4.2,1.2,-2.351386308670044,0.0475599430501461,3.7134745121002197,0.7780967950820923
4.9,3.6,1.4,0.1,0.0,0.0,3.008453607559204,0.1280820369720459
6.5,3.0,5.5,1.8,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
5.5,2.4,3.7,1.0,-2.351386308670044,0.22092726826667786,3.794631242752075,0.6944840550422668
6.7,2.5,5.8,1.8,-0.009080559015274048,0.990894079208374,2.398585319519043,1.3873006105422974
4.9,3.0,1.4,0.2,0.0,0.0,3.008453607559204,0.1280820369720459
4.4,3.0,1.3,0.2,0.0,0.0,3.008453607559204,0.1280820369720459
4.8,3.1,1.6,0.2,0.0,0.0,3.008453607559204,0.1280820369720459
5.7,2.8,4.5,1.3,-2.361544609069824,-1.2461094856262207,3.2766854763031006,0.8626033067703247
4.8,3.0,1.4,0.1,0.0,0.0,3.008453607559204,0.1280820369720459
5.1,3.3,1.7,0.5,0.0,0.0,3.008453607559204,0.1280820369720459
4.8,3.4,1.9,0.2,0.0,0.0,3.008453607559204,0.1280820369720459
5.5,3.5,1.3,0.2,0.0,0.0,3.008453607559204,0.1280820369720459
6.1,2.9,4.7,1.4,2.5892062187194824,0.5846026539802551,3.4425241947174072,0.9174972176551819
6.3,2.3,4.4,1.3,3.1822853088378906,0.22092726826667786,3.865802049636841,0.9473920464515686
6.0,3.0,4.8,1.8,1.1887030601501465,0.17152488231658936,0.0014219227014109492,-1.3731236457824707
5.0,3.3,1.4,0.2,0.0,0.0,3.008453607559204,0.1280820369720459
6.9,3.1,5.1,2.3,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
5.8,2.6,4.0,1.2,-4.391528129577637,0.22092726826667786,3.794631242752075,0.8353304266929626
5.6,2.5,3.9,1.1,-2.351386308670044,0.22092726826667786,3.794631242752075,0.8353304266929626
5.2,3.4,1.4,0.2,0.0,0.0,3.008453607559204,0.1280820369720459
6.1,3.0,4.9,1.8,0.05448269098997116,-1.6156102418899536,0.2311629354953766,1.6837353706359863
6.3,3.3,6.0,2.5,0.08778362721204758,-1.2422877550125122,2.887366533279419,1.2218068838119507
5.8,2.7,3.9,1.2,-4.391528129577637,0.22092726826667786,3.794631242752075,0.8353304266929626
7.2,3.2,6.0,1.8,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
6.4,2.9,4.3,1.3,3.1822853088378906,0.4986410439014435,3.7846453189849854,0.9473920464515686
6.7,3.3,5.7,2.1,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
