MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,SHARP for MedInc,SHARP for HouseAge,SHARP for AveRooms,SHARP for AveBedrms,SHARP for Population,SHARP for AveOccup,SHARP for Latitude,SHARP for Longitude
4.5655,35.0,5.670807453416149,0.9834368530020704,1481.0,3.0662525879917184,34.1,-117.9,0.1901465505361557,0.04247293248772621,-0.06482863426208496,-0.017066258937120438,0.0007699173875153065,-0.23008392751216888,0.2110295444726944,-0.10429434478282928
4.125,34.0,5.87218045112782,1.0225563909774436,825.0,3.101503759398496,34.09,-117.9,0.03211812302470207,0.024126602336764336,-0.03913767635822296,-0.0036640975158661604,-0.0023562584538012743,-0.20129844546318054,0.2455868273973465,-0.07890446484088898
5.212,32.0,5.589189189189189,0.9621621621621622,976.0,2.637837837837838,34.08,-117.9,0.42523056268692017,0.07706665992736816,-0.07116002589464188,-0.037606000900268555,0.0011000155936926603,0.004496228881180286,0.22078415751457214,-0.13682380318641663
2.4167,37.0,5.121359223300971,1.3592233009708738,538.0,2.6116504854368934,34.09,-117.89,-0.5037800073623657,0.028499018400907516,-0.13375429809093475,0.009441270492970943,-0.005306498147547245,-0.010590759105980396,0.269485741853714,-0.05026346445083618
2.3971,35.0,3.7774294670846396,1.0344827586206897,583.0,1.8275862068965518,34.09,-117.89,-0.6117379665374756,0.10209812223911285,0.018543081358075142,-0.004773436579853296,0.003395303850993514,0.5546186566352844,0.26640209555625916,-0.13032928109169006
3.4453,37.0,4.834666666666666,1.0506666666666666,1100.0,2.933333333333333,34.09,-117.89,-0.17463019490242004,0.021729083731770515,-0.06651943176984787,0.016479171812534332,1.972150494111702e-05,-0.18051695823669434,0.24616187810897827,-0.08909181505441666
4.3409,39.0,5.152238805970149,0.9940298507462687,892.0,2.662686567164179,34.09,-117.9,0.11202394962310791,0.10229741036891937,-0.09864826500415802,-0.024980489164590836,-0.0014492167392745614,-0.0632234662771225,0.24016119539737701,-0.08569348603487015
2.7763,30.0,4.231884057971015,1.0614216701173222,3147.0,2.1718426501035197,34.08,-117.88,-0.4320412576198578,0.06799033284187317,-0.03826967999339104,0.0137788662686944,0.009982449002563953,0.34435826539993286,0.2688941955566406,-0.10298548638820648
3.5,35.0,4.806179775280899,0.9410112359550562,825.0,2.317415730337079,34.08,-117.89,-0.177556574344635,0.04112258553504944,-0.04870438948273659,-0.040715575218200684,-0.00675194850191474,0.24670417606830597,0.27864834666252136,-0.09712459146976471
3.1949,25.0,4.433962264150943,1.0251572327044025,1107.0,2.3207547169811322,34.08,-117.89,-0.20901046693325043,0.00841981079429388,-0.004849129356443882,-0.005677955690771341,0.012236724607646465,0.21242286264896393,0.27331918478012085,-0.1100812703371048
