sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),SHARP for sepal length (cm) Class1,SHARP for sepal width (cm) Class1,SHARP for petal length (cm) Class1,SHARP for petal width (cm) Class1,SHARP for sepal length (cm) Class2,SHARP for sepal width (cm) Class2,SHARP for petal length (cm) Class2,SHARP for petal width (cm) Class2,SHARP for sepal length (cm) Class3,SHARP for sepal width (cm) Class3,SHARP for petal length (cm) Class3,SHARP for petal width (cm) Class3
6.0,2.7,5.1,1.6,0.0,0.0,-2.231215476989746,0.0,-1.220151662826538,-0.009311167523264885,-2.020014762878418,1.8118282556533813,0.39883774518966675,0.46466585993766785,2.3899760246276855,-1.5011495351791382
6.9,3.1,5.4,2.1,0.0,0.0,-2.231215476989746,0.0,0.3353366553783417,-0.06666380912065506,-2.0280587673187256,-0.2703744173049927,0.19329220056533813,-0.40094059705734253,2.011077880859375,1.7346818447113037
7.2,3.2,6.0,1.8,0.0,0.0,-2.231215476989746,0.0,0.3353366553783417,0.105656698346138,-2.0280587673187256,-0.18823295831680298,0.19329220056533813,-0.5591428279876709,2.011077880859375,1.6798473596572876
4.8,3.0,1.4,0.3,0.0,0.0,3.137331008911133,0.0,0.1606612354516983,-0.021004095673561096,-1.3425445556640625,-0.9612350463867188,-0.5936292409896851,-0.27617305517196655,-1.9759730100631714,-1.2570335865020752
5.8,2.8,5.1,2.4,0.0,0.0,-2.231215476989746,0.0,0.14390961825847626,-0.054970882833004,-2.1897268295288086,-0.12952449917793274,-1.0513321161270142,0.5258948802947998,2.1174793243408203,1.3530590534210205
5.1,3.8,1.5,0.3,0.0,0.0,3.137331008911133,0.0,0.1606612354516983,0.024085644632577896,-1.3425445556640625,-1.0063250064849854,-0.5936292409896851,-0.43370652198791504,-1.911125659942627,-1.164347529411316
7.2,3.0,5.8,1.6,0.0,0.0,-2.231215476989746,0.0,0.466858834028244,-0.021004095673561096,-1.7902517318725586,1.886024832725525,0.047025151550769806,-0.2788047790527344,2.3217177391052246,-1.5547230243682861
6.7,2.5,5.8,1.8,0.0,0.0,-2.231215476989746,0.0,0.3353366553783417,-0.054970882833004,-2.0280587673187256,-0.2703744173049927,0.19329220056533813,0.6091288328170776,2.0771913528442383,1.638543725013733
5.7,2.8,4.5,1.3,0.0,0.0,-2.231215476989746,0.0,0.1606612354516983,-0.009311167523264885,5.449451923370361,-0.47223755717277527,-0.5936292409896851,0.36996176838874817,-2.0453383922576904,-1.2034600973129272
5.4,3.7,1.5,0.2,0.0,0.0,3.137331008911133,0.0,0.1606612354516983,0.024085644632577896,-1.3425445556640625,-1.0063250064849854,-0.5936292409896851,-0.43370652198791504,-1.911125659942627,-1.164347529411316
5.7,2.5,5.0,2.0,0.0,0.0,-2.231215476989746,0.0,0.14390961825847626,-0.054970882833004,-1.038673996925354,-0.12952449917793274,-1.0513321161270142,0.6091288328170776,1.699681043624878,1.2698249816894531
5.0,2.3,3.3,1.0,0.0,0.0,-1.9919700622558594,0.0,0.1606612354516983,-0.009311167523264885,2.251830816268921,-0.612097978591919,-0.5936292409896851,0.6148816347122192,-2.0453383922576904,-1.125008463859558
4.9,2.5,4.5,1.7,0.0,0.0,-2.231215476989746,0.0,0.1606612354516983,-0.009311167523264885,5.428499221801758,1.7382336854934692,-0.5936292409896851,0.6148816347122192,-1.9850186109542847,-0.9262967705726624
6.4,3.2,5.3,2.3,0.0,0.0,-2.231215476989746,0.0,-0.16431471705436707,0.105656698346138,-2.2578177452087402,-0.18823295831680298,0.5451048016548157,-0.5591428279876709,2.051365852355957,1.6798473596572876
5.0,3.2,1.2,0.2,0.0,0.0,3.137331008911133,0.0,0.1606612354516983,0.024085644632577896,-1.3425445556640625,-1.0063250064849854,-0.5936292409896851,-0.43370652198791504,-1.911125659942627,-1.164347529411316
5.0,3.6,1.4,0.2,0.0,0.0,3.137331008911133,0.0,0.1606612354516983,0.024085644632577896,-1.3425445556640625,-1.0063250064849854,-0.5936292409896851,-0.43370652198791504,-1.911125659942627,-1.164347529411316
6.7,3.3,5.7,2.1,0.0,0.0,-2.231215476989746,0.0,0.3353366553783417,0.105656698346138,-2.0280587673187256,-0.18823295831680298,0.19329220056533813,-0.5591428279876709,2.011077880859375,1.6798473596572876
5.6,2.5,3.9,1.1,0.0,0.0,-2.231215476989746,0.0,0.1606612354516983,-0.009311167523264885,2.4405457973480225,-0.612097978591919,-0.5936292409896851,0.6148816347122192,-2.0453383922576904,-1.125008463859558
5.8,2.7,5.1,1.9,0.0,0.0,-2.231215476989746,0.0,0.14390961825847626,-0.054970882833004,-2.1897268295288086,-0.12952449917793274,-1.0513321161270142,0.5258948802947998,2.1174793243408203,1.3530590534210205
5.1,3.3,1.7,0.5,0.0,0.0,3.137331008911133,0.0,0.1606612354516983,0.024085644632577896,-1.3425445556640625,-1.0063250064849854,-0.5936292409896851,-0.43370652198791504,-1.911125659942627,-1.164347529411316
5.8,2.6,4.0,1.2,0.0,0.0,-2.231215476989746,0.0,0.1606612354516983,-0.009311167523264885,2.4720280170440674,-0.4996819794178009,-0.5936292409896851,0.6148816347122192,-2.0453383922576904,-1.125008463859558
