sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),SHARP for sepal length (cm),SHARP for sepal width (cm),SHARP for petal length (cm),SHARP for petal width (cm)
5.7,2.8,4.1,1.3,-0.32599300146102905,-0.013646942563354969,1.4511196613311768,0.8290647268295288
6.3,2.9,5.6,1.8,0.9298564791679382,-1.1284894943237305,1.508644461631775,2.9298226833343506
6.6,3.0,4.4,1.4,1.015605092048645,-0.622718870639801,1.4919164180755615,0.9248312711715698
5.5,4.2,1.4,0.2,0.0,0.0,2.9954166412353516,0.0
4.6,3.6,1.0,0.2,0.0,0.0,2.9954166412353516,0.0
5.6,3.0,4.5,1.5,-0.47319209575653076,-0.6018475294113159,1.4267499446868896,0.8290647268295288
6.3,2.5,5.0,1.9,0.8860216736793518,1.8798152208328247,-0.034835681319236755,2.847125291824341
4.6,3.1,1.5,0.2,0.0,0.0,2.9954166412353516,0.0
6.1,2.8,4.0,1.3,0.9405431151390076,-0.07298210263252258,1.4919164180755615,0.9248312711715698
6.1,2.6,5.6,1.4,0.8187351822853088,0.9598605632781982,-0.7442284226417542,1.097154140472412
6.5,3.0,5.2,2.0,0.9298564791679382,-1.4300174713134766,1.508644461631775,2.9298226833343506
5.5,2.6,4.4,1.2,-0.6078819632530212,0.8983472585678101,1.4267499446868896,0.8949481248855591
5.6,2.9,3.6,1.3,-0.47319209575653076,0.20178478956222534,1.4267499446868896,0.8290647268295288
6.9,3.1,4.9,1.5,0.9905120134353638,-0.41440269351005554,1.1295359134674072,1.010845422744751
5.0,2.3,3.3,1.0,-1.9144469499588013,0.8983472585678101,1.2902014255523682,0.7835885286331177
5.7,3.0,4.2,1.2,-0.35041528940200806,-0.6018475294113159,1.4511196613311768,0.8290647268295288
5.1,2.5,3.0,1.1,0.0,0.0,2.9954166412353516,0.0
5.7,3.8,1.7,0.3,0.0,0.0,2.9954166412353516,0.0
5.2,3.4,1.4,0.2,0.0,0.0,2.9954166412353516,0.0
5.7,2.9,4.2,1.3,-0.35041528940200806,0.20178478956222534,1.4511196613311768,0.8290647268295288
6.0,3.4,4.5,1.6,-0.2752297520637512,-0.3653806746006012,1.4919164180755615,4.461246013641357
6.4,2.9,4.3,1.3,1.015605092048645,0.18091344833374023,1.4919164180755615,0.9248312711715698
6.5,3.0,5.5,1.8,0.9298564791679382,-1.4300174713134766,1.508644461631775,2.9298226833343506
4.7,3.2,1.6,0.2,0.0,0.0,2.9954166412353516,0.0
6.7,3.1,5.6,2.4,0.9298564791679382,-1.9215140342712402,1.5882855653762817,2.8119189739227295
5.5,2.5,4.0,1.3,-0.6078819632530212,0.8983472585678101,1.4267499446868896,0.8949481248855591
6.4,2.7,5.3,1.9,0.963143527507782,1.6994878053665161,1.3294786214828491,2.8386552333831787
7.7,2.6,6.9,2.3,0.963143527507782,1.6994878053665161,1.3294786214828491,2.8386552333831787
5.1,3.7,1.5,0.4,0.0,0.0,2.9954166412353516,0.0
5.1,3.8,1.5,0.3,0.0,0.0,2.9954166412353516,0.0
